taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
-2265	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;unclassified_Bacillaceae 1;;	unclassified_Bacillaceae 1		0	5	0	2	0	8	1	0	22	0	0	33	0	0	0	0	1	0	0	0
3915	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;Mesobacillus;genus;	Mesobacillus	genus	0	0	0	0	0	1	0	1	2	0	0	2	0	0	16	0	6	0	1	0
2269	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 2;family;	Bacillaceae 2	family	0	0	0	2	0	2	0	0	2	2	0	2	0	0	0	1	0	0	0	38
2273	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 2;family;Halolactibacillus;genus;	Halolactibacillus	genus	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0
-2270	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 2;family;unclassified_Bacillaceae 2;;	unclassified_Bacillaceae 2		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
2272	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 2;family;Amphibacillus;genus;	Amphibacillus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
-2261	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;unclassified_Bacilli;;	unclassified_Bacilli		0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2375	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;	Clostridia	class	144	82	100	5412	7	839	16	73	251	71	54	827	476	10	30	90	370	19	78	974
2376	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;	Clostridiales	order	144	81	99	5355	7	831	13	24	63	57	48	28	386	5	16	70	282	19	33	974
2484	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;	Ruminococcaceae	family	73	0	57	2370	1	417	7	5	20	6	2	9	91	0	7	17	88	0	7	159
4349	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Ruminiclostridium;genus;	Ruminiclostridium	genus	26	0	2	223	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2485	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;unclassified_Ruminococcaceae;;	unclassified_Ruminococcaceae		47	0	29	1384	1	201	7	0	14	4	1	9	64	0	7	15	81	0	5	130
2486	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Acetivibrio;genus;	Acetivibrio	genus	0	0	6	234	0	52	0	4	0	0	0	0	0	0	0	0	1	0	2	11
2639	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Oscillibacter;genus;	Oscillibacter	genus	0	0	6	222	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2489	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Acetanaerobacterium;genus;	Acetanaerobacterium	genus	0	0	7	204	0	53	0	1	4	0	0	0	0	0	0	0	0	0	0	0
2494	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Sporobacter;genus;	Sporobacter	genus	0	0	1	24	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3027	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Pseudobacteroides;genus;	Pseudobacteroides	genus	0	0	1	21	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
