protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|Q8MRN5,DROME,FKL+19,Q8MRN5,1,78,7,52,58,44,49,20,39,35,103,13,62,35,44,33,68,79,69,16,48
tr|A1Z784,DROME,FKL+19,A1Z784,1,210,25,133,187,93,146,55,162,124,226,61,118,107,107,156,170,122,174,28,78
sp|P54611,DROME,FKL+19,VATE,1,15,2,12,25,7,7,2,14,21,25,6,13,5,18,14,9,6,21,0,4
tr|Q9VJD4,DROME,FKL+19,Q9VJD4,1,42,4,17,24,11,17,1,15,11,24,13,34,21,23,14,22,12,14,0,12
tr|Q9VWC7,DROME,FKL+19,Q9VWC7,1,79,23,38,69,27,37,21,42,52,120,21,31,19,57,47,70,38,59,4,16
tr|Q95WY3,DROME,FKL+19,Q95WY3,1,54,4,25,34,26,31,9,32,55,44,12,26,12,17,19,36,16,31,1,12
tr|Q70VI1,DROME,FKL+19,Q70VI1,1,32,0,20,22,12,14,8,13,14,28,3,11,46,3,41,43,12,14,7,21
sp|P20432,DROME,FKL+19,GSTD1,1,22,3,8,16,14,10,2,8,19,18,3,11,11,7,5,9,10,15,4,14
sp|Q9VUV9,DROME,FKL+19,U520,1,146,25,134,173,80,103,58,116,131,243,52,79,82,118,126,120,119,148,21,68
sp|O76922,DROME,FKL+19,AUB,1,48,15,47,41,31,51,16,57,51,60,33,52,42,42,65,61,46,65,6,37
sp|Q9VTL1,DROME,FKL+19,PCID2,1,30,12,23,15,20,17,13,18,25,58,11,18,15,18,20,21,8,31,1,21
tr|Q9VXF9,DROME,FKL+19,Q9VXF9,1,29,8,30,32,15,33,7,28,16,44,15,26,21,29,30,33,31,26,1,4
sp|Q9W5E4,DROME,FKL+19,MBB1A,1,94,21,64,94,38,39,21,46,110,159,10,42,37,76,49,94,40,67,14,18
tr|X2JJD6,DROME,FKL+19,X2JJD6,1,32,4,25,23,25,53,15,20,33,37,7,19,74,29,22,56,62,35,6,15
tr|Q9VGW7,DROME,FKL+19,Q9VGW7,1,24,7,31,24,18,19,7,25,26,21,15,24,10,12,14,22,26,30,5,16
tr|D2NUK5,DROME,FKL+19,D2NUK5,1,26,0,15,32,9,20,2,4,25,9,3,12,20,11,14,21,12,23,2,5
tr|Q7KTC3,DROME,FKL+19,Q7KTC3,1,110,14,76,87,86,95,18,113,86,177,32,72,52,69,73,111,87,119,26,45
tr|Q8SYG3,DROME,FKL+19,Q8SYG3,1,9,3,10,18,7,8,4,11,13,15,3,7,12,3,8,12,5,10,5,5
tr|Q8MT18,DROME,FKL+19,Q8MT18,1,28,4,21,23,9,31,15,32,19,29,13,30,16,13,20,21,28,34,1,15
tr|Q9VGA3,DROME,FKL+19,Q9VGA3,1,11,9,12,13,8,15,4,8,12,20,2,17,13,12,14,10,11,13,8,8
tr|D3PFE3,DROME,FKL+19,D3PFE3,1,47,9,35,31,38,41,4,43,31,79,19,30,34,19,16,47,40,63,11,29
sp|Q9VES1,DROME,FKL+19,AR6P1,1,15,4,7,7,8,14,1,16,13,31,6,8,3,9,6,10,6,18,6,9
tr|X2JC35,DROME,FKL+19,X2JC35,1,7,0,3,6,2,7,5,5,19,13,3,4,1,3,15,4,8,7,0,3
tr|Q9VRV8,DROME,FKL+19,Q9VRV8,1,59,26,58,66,33,37,26,67,38,112,29,41,45,41,39,50,40,49,12,25
sp|P48610,DROME,FKL+19,KARG,1,25,5,22,28,18,28,9,16,30,33,7,15,12,11,15,21,22,23,2,14
tr|Q8T0R6,DROME,FKL+19,Q8T0R6,1,54,2,31,29,16,34,14,27,26,43,15,26,23,19,18,31,19,36,2,18
tr|Q9XZ19,DROME,FKL+19,Q9XZ19,1,26,7,32,14,11,23,12,12,22,28,5,11,12,9,7,37,18,28,8,9
sp|Q9V3H2,DROME,FKL+19,PSDE,1,19,3,19,19,7,20,9,13,21,33,16,15,15,18,10,16,13,31,3,8
tr|Q9W3H4,DROME,FKL+19,Q9W3H4,1,22,4,12,8,4,21,4,16,15,30,7,17,12,12,9,17,16,14,2,5
tr|B3LF78,DROME,FKL+19,B3LF78,1,44,4,29,54,17,66,13,28,33,29,13,47,27,54,60,44,29,37,2,16
tr|Q9VRS7,DROME,FKL+19,Q9VRS7,1,29,6,8,5,8,23,3,15,8,19,1,14,10,12,5,32,31,30,5,10
sp|Q0KHY3,DROME,FKL+19,MESH,1,98,29,92,74,78,101,25,61,55,106,33,79,94,64,94,79,93,100,26,73
tr|M9NGK3,DROME,FKL+19,M9NGK3,1,207,166,261,274,92,285,54,175,108,256,39,222,238,181,251,289,204,255,34,137
tr|Q960C7,DROME,FKL+19,Q960C7,1,25,6,18,18,15,24,5,19,29,40,6,19,13,7,13,20,19,21,5,8
tr|Q9VZF6,DROME,FKL+19,Q9VZF6,1,33,10,20,20,19,27,11,23,36,37,16,26,26,15,20,30,28,36,3,21
tr|Q9VUY4,DROME,FKL+19,Q9VUY4,1,69,17,47,67,29,43,27,50,68,101,12,38,36,52,44,71,45,62,22,41
sp|P13607,DROME,FKL+19,ATNA,1,90,17,64,68,53,71,17,81,61,89,30,47,44,28,50,57,61,74,11,28
sp|P16378,DROME,FKL+19,GNAO,1,28,10,23,29,20,16,6,24,25,28,9,17,6,19,18,23,21,17,3,12
tr|Q9XYZ9,DROME,FKL+19,Q9XYZ9,1,21,5,14,15,8,11,6,15,17,31,2,6,13,8,8,10,11,8,2,12
tr|Q8IMB9,DROME,FKL+19,Q8IMB9,1,43,6,50,53,16,29,11,45,54,57,4,64,57,48,19,86,48,28,5,20
tr|Q9VJ31,DROME,FKL+19,Q9VJ31,1,24,7,17,27,9,28,4,17,19,36,6,14,13,12,14,20,16,29,8,11
sp|P82147,DROME,FKL+19,L2EFL,1,5,0,14,12,7,8,4,6,12,17,5,5,12,12,11,22,13,15,4,3
sp|Q9VA91,DROME,FKL+19,RS7,1,11,0,12,12,8,8,4,18,23,17,1,5,11,9,13,9,10,18,0,5
tr|Q86NM8,DROME,FKL+19,Q86NM8,1,27,7,35,55,10,16,11,20,44,27,12,9,13,18,21,21,10,20,5,8
tr|Q9VKI8,DROME,FKL+19,Q9VKI8,1,41,6,12,24,3,28,5,23,23,29,5,10,16,9,13,16,21,36,3,9
tr|X2JG23,DROME,FKL+19,X2JG23,1,46,9,31,46,21,37,14,13,11,75,8,24,27,35,38,39,38,27,5,30
sp|Q9VHS8,DROME,FKL+19,IF4A3,1,22,5,27,29,15,21,5,35,22,35,15,14,12,21,29,19,28,31,3,11
tr|M9MRF2,DROME,FKL+19,M9MRF2,1,9,4,1,3,1,8,1,3,13,2,4,0,0,2,10,8,8,9,2,4
tr|Q9VL71,DROME,FKL+19,Q9VL71,1,25,6,20,31,7,25,12,31,37,19,10,13,26,16,81,89,26,26,2,11
sp|P55841,DROME,FKL+19,RL14,1,16,1,8,5,6,8,1,7,23,15,1,7,8,6,20,6,10,11,3,4
tr|Q9VHC8,DROME,FKL+19,Q9VHC8,1,40,0,23,27,6,15,2,8,34,24,2,12,18,9,14,24,33,16,1,0
tr|Q9VQR2,DROME,FKL+19,Q9VQR2,1,11,4,11,13,7,7,5,8,8,6,7,7,9,10,15,5,6,9,4,7
tr|Q9U5W4,DROME,FKL+19,Q9U5W4,1,54,6,28,50,13,23,10,20,67,57,13,16,17,21,17,26,28,29,2,13
sp|P07190,DROME,FKL+19,MAL1,1,31,4,48,35,25,36,13,34,25,38,12,36,27,24,26,38,33,41,16,35
sp|Q9W4V8,DROME,FKL+19,TI50C,1,35,2,26,27,18,20,24,16,25,42,12,18,27,28,26,13,20,25,8,16
tr|M9PH59,DROME,FKL+19,M9PH59,1,7,4,0,1,3,8,4,1,13,3,2,3,2,4,13,8,9,4,1,3
tr|Q9VMV5,DROME,FKL+19,Q9VMV5,1,104,18,108,96,33,510,21,65,74,99,24,61,210,95,117,108,61,66,14,56
tr|Q9V436,DROME,FKL+19,Q9V436,1,21,3,15,23,8,9,3,13,23,37,6,8,8,11,12,21,7,19,2,15
tr|U3Q053,DROME,FKL+19,U3Q053,1,69,19,50,77,38,42,24,33,65,140,29,34,28,56,56,64,32,47,9,36
sp|Q7JZV0,DROME,FKL+19,LCP2A,1,15,1,5,8,4,5,1,6,3,8,1,9,11,9,2,8,2,13,2,4
tr|Q8T0J5,DROME,FKL+19,Q8T0J5,1,31,2,11,18,11,19,4,22,28,28,8,16,11,4,10,13,21,20,2,8
tr|D1YSG0,DROME,FKL+19,D1YSG0,1,478,122,640,713,256,582,150,603,803,520,89,447,672,250,429,615,538,612,138,276
tr|D8FT24,DROME,FKL+19,D8FT24,1,11,3,9,12,7,13,4,8,12,18,9,6,6,8,11,9,8,22,0,5
tr|Q9VL89,DROME,FKL+19,Q9VL89,1,39,12,30,35,12,35,10,30,38,30,11,19,26,17,23,14,34,15,1,17
tr|Q4V5H1,DROME,FKL+19,Q4V5H1,1,6,5,10,7,15,21,3,12,9,10,6,13,10,9,8,9,13,13,1,3
tr|Q9VQL7,DROME,FKL+19,Q9VQL7,1,217,30,123,157,94,191,39,134,145,246,46,116,99,98,110,164,152,191,25,61
tr|Q9ME01,DROME,FKL+19,Q9ME01,1,21,3,10,3,31,25,10,43,8,56,12,25,23,8,8,17,19,25,13,18
sp|Q9VNE9,DROME,FKL+19,RL13A,1,16,3,5,8,7,14,7,10,21,20,3,8,8,4,26,8,7,20,1,9
tr|Q7K180,DROME,FKL+19,Q7K180,1,42,1,18,34,8,22,11,27,34,33,6,27,27,28,14,54,28,18,2,6
tr|Q9Y148,DROME,FKL+19,Q9Y148,1,95,23,52,54,29,46,33,59,59,109,17,64,44,54,45,60,53,68,8,39
sp|Q9I7U4,DROME,FKL+19,TITIN,1,819,121,931,2722,414,652,283,1159,1935,994,183,460,1270,956,715,907,1434,1704,101,381
tr|Q9VPR1,DROME,FKL+19,Q9VPR1,1,25,2,4,5,9,19,3,11,10,20,3,10,12,5,6,11,6,8,7,9
tr|M9PF16,DROME,FKL+19,M9PF16,1,182,13,175,259,70,80,63,112,184,249,51,102,36,138,145,129,107,125,37,51
sp|Q9VI10,DROME,FKL+19,SMD2,1,6,2,3,10,4,6,1,3,15,14,4,10,6,3,8,5,7,11,1,0
tr|Q9VJD1,DROME,FKL+19,Q9VJD1,1,51,16,39,72,13,30,6,18,18,41,7,23,32,42,35,29,27,29,6,14
tr|E1JJN1,DROME,FKL+19,E1JJN1,1,12,1,10,11,5,5,2,13,8,15,3,9,14,5,10,7,5,9,3,4
tr|Q9VY76,DROME,FKL+19,Q9VY76,1,47,10,48,55,36,26,20,42,43,70,32,51,39,31,42,54,38,43,7,37
tr|Q9VKM3,DROME,FKL+19,Q9VKM3,1,10,1,2,4,3,9,1,8,7,11,1,5,5,3,5,2,8,8,2,4
tr|O46231,DROME,FKL+19,O46231,1,26,2,27,34,9,13,9,24,27,44,6,23,19,19,17,18,23,20,2,5
sp|Q9VV41,DROME,FKL+19,OSGEP,1,23,9,14,27,9,32,6,29,17,31,12,17,14,10,23,21,15,23,2,13
tr|Q960D3,DROME,FKL+19,Q960D3,1,33,1,29,35,14,54,1,6,35,14,4,38,34,18,40,21,8,15,3,9
sp|P10981,DROME,FKL+19,ACT5,1,30,7,22,27,12,29,9,30,19,27,16,9,19,12,18,24,23,23,4,16
tr|E2QD75,DROME,FKL+19,E2QD75,1,44,17,46,64,37,20,35,45,47,95,20,28,34,29,46,59,41,52,16,25
tr|Q9VRE0,DROME,FKL+19,Q9VRE0,1,50,9,31,27,42,52,18,54,27,76,23,19,18,17,33,57,45,56,16,43
tr|Q9VEY5,DROME,FKL+19,Q9VEY5,1,27,4,9,15,7,18,5,11,18,15,6,5,16,7,11,14,7,21,0,10
tr|M9PC85,DROME,FKL+19,M9PC85,1,18,4,18,10,6,45,4,1,7,6,1,8,11,1,53,38,5,13,1,7
sp|Q9VN50,DROME,FKL+19,EI3F1,1,15,5,15,14,8,15,12,10,12,35,7,15,14,13,11,17,20,33,2,7
tr|Q9VP50,DROME,FKL+19,Q9VP50,1,14,3,15,20,15,17,17,19,22,38,6,13,26,7,19,31,10,19,6,13
sp|Q9VL31,DROME,FKL+19,RIP,1,10,8,6,27,5,6,5,11,9,24,6,7,5,18,17,12,6,8,1,6
tr|Q9VZY0,DROME,FKL+19,Q9VZY0,1,19,2,26,26,6,11,4,9,35,16,6,5,13,7,14,22,8,11,1,3
tr|Q8MKK1,DROME,FKL+19,Q8MKK1,1,16,2,8,10,7,9,5,7,12,19,1,8,4,10,5,17,9,18,3,9
sp|Q24368,DROME,FKL+19,ISWI,1,65,11,65,96,45,49,15,59,96,91,24,54,39,46,72,56,56,47,15,26
sp|P29746,DROME,FKL+19,BNB,1,94,2,14,69,1,5,0,15,49,13,1,9,53,23,3,31,27,32,1,0
sp|Q9V597,DROME,FKL+19,RL31,1,6,1,7,9,4,4,3,10,13,5,2,8,4,1,15,7,12,9,1,3
sp|Q9VI58,DROME,FKL+19,TUTT,1,41,13,18,31,29,19,13,35,39,49,17,31,38,37,25,27,37,36,5,20
tr|I1V501,DROME,FKL+19,I1V501,1,32,9,41,35,18,47,14,25,34,31,13,36,18,14,25,39,20,28,2,30
sp|Q9VYG2,DROME,FKL+19,BAP60,1,30,4,26,33,24,39,12,25,36,44,11,19,42,33,36,29,29,25,5,13
tr|A1ZBE9,DROME,FKL+19,A1ZBE9,1,119,15,58,57,31,64,17,42,89,118,9,47,53,50,38,45,59,64,19,28
tr|Q9I7L8,DROME,FKL+19,Q9I7L8,1,64,11,40,51,14,28,19,31,43,69,25,24,20,24,38,54,38,31,8,46
tr|Q8T0Q4,DROME,FKL+19,Q8T0Q4,1,23,0,22,27,6,7,2,12,25,20,9,11,9,12,8,8,16,8,1,0
tr|Q7KN97,DROME,FKL+19,Q7KN97,1,98,13,63,88,47,85,27,61,73,111,31,44,65,39,69,62,56,109,3,37
tr|H1UUD2,DROME,FKL+19,H1UUD2,1,13,2,9,16,6,12,5,7,14,19,6,7,3,8,7,7,11,8,1,8
tr|A4V441,DROME,FKL+19,A4V441,1,38,11,25,36,24,49,14,24,28,52,2,27,11,24,30,41,27,20,12,17
sp|Q9VKK1,DROME,FKL+19,EDC4,1,128,24,70,90,35,52,29,72,80,128,36,87,51,85,52,137,74,85,8,31
tr|Q9W499,DROME,FKL+19,Q9W499,1,9,1,4,6,3,2,1,6,27,13,2,4,4,4,14,6,4,11,0,2
sp|Q9V7D2,DROME,FKL+19,VATD1,1,24,0,17,16,8,15,2,19,26,29,6,7,4,16,16,10,11,15,0,5
tr|M9PGA7,DROME,FKL+19,M9PGA7,1,67,11,57,88,32,41,23,48,57,96,27,53,34,51,61,36,49,42,15,29
tr|Q9VDK7,DROME,FKL+19,Q9VDK7,1,76,11,33,52,16,25,8,21,69,68,5,33,25,39,35,40,28,39,4,23
tr|M9PEY6,DROME,FKL+19,M9PEY6,1,50,15,59,59,45,74,20,41,53,61,19,76,53,53,61,44,28,44,9,44
sp|Q9W0Y1,DROME,FKL+19,TINA1,1,9,3,7,10,4,11,5,7,10,18,5,10,8,6,7,12,11,9,2,13
sp|Q23978,DROME,FKL+19,MY31D,1,65,11,50,67,48,55,24,74,82,82,21,59,27,54,72,53,53,60,11,43
tr|Q9VT75,DROME,FKL+19,Q9VT75,1,20,6,9,17,4,12,12,5,13,16,8,10,6,9,10,12,4,10,1,12
tr|Q7JW48,DROME,FKL+19,Q7JW48,1,29,8,28,30,4,10,3,11,14,29,2,15,8,13,5,87,38,15,1,9
sp|Q94522,DROME,FKL+19,SUCA,1,32,7,10,19,9,43,10,27,26,23,7,8,18,11,12,16,17,27,0,6
sp|P42283,DROME,FKL+19,LOLA1,1,89,9,53,59,16,69,29,28,49,63,19,40,34,64,47,98,58,45,3,19
tr|Q9U9Q1,DROME,FKL+19,Q9U9Q1,1,26,6,16,30,14,13,8,24,23,35,13,14,13,16,27,22,21,24,2,9
tr|A4V2I0,DROME,FKL+19,A4V2I0,1,23,7,12,21,7,20,10,19,13,28,6,14,20,15,18,33,22,34,3,8
tr|B7Z0L1,DROME,FKL+19,B7Z0L1,1,49,3,40,31,24,31,18,43,40,52,14,49,22,20,26,42,39,57,3,21
tr|Q9VQ61,DROME,FKL+19,Q9VQ61,1,42,7,25,23,16,30,10,30,32,38,8,20,17,15,24,24,18,26,6,13
sp|Q9XYU1,DROME,FKL+19,MCM3,1,71,12,60,60,20,49,18,46,45,73,22,27,32,28,64,66,45,57,0,24
tr|Q7K3M5,DROME,FKL+19,Q7K3M5,1,53,16,40,49,29,35,12,39,44,73,23,32,40,41,43,40,42,47,4,27
sp|Q9W2M2,DROME,FKL+19,TREA,1,34,6,37,46,30,40,9,29,39,48,14,38,32,14,18,48,34,34,18,28
tr|Q9VSN9,DROME,FKL+19,Q9VSN9,1,20,3,19,11,11,15,6,18,18,27,2,5,6,10,17,20,15,16,1,4
tr|Q9VU39,DROME,FKL+19,Q9VU39,1,38,8,16,20,17,26,7,22,13,32,7,17,19,21,12,16,14,26,2,12
tr|Q9VM12,DROME,FKL+19,Q9VM12,1,22,4,12,27,18,13,6,11,25,33,12,8,13,14,14,14,11,24,5,8
sp|Q9W4X7,DROME,FKL+19,EI3G1,1,23,4,18,18,5,17,4,12,33,15,9,15,14,8,9,17,18,16,4,10
sp|P49735,DROME,FKL+19,MCM2,1,60,12,69,77,37,46,19,53,44,71,29,30,45,42,60,57,47,62,2,25
sp|P18824,DROME,FKL+19,ARM,1,80,10,44,47,14,67,24,43,24,97,29,48,44,50,40,62,39,58,6,17
sp|Q05856,DROME,FKL+19,RSMB,1,12,1,3,9,5,32,3,12,8,11,14,8,32,5,18,7,4,13,0,2
tr|Q5U156,DROME,FKL+19,Q5U156,1,82,31,60,79,43,74,54,53,94,105,28,58,85,85,51,98,70,78,11,42
tr|Q9VN86,DROME,FKL+19,Q9VN86,1,30,6,18,26,24,44,6,17,28,38,13,11,19,12,25,35,22,37,4,15
sp|P29310,DROME,FKL+19,1433Z,1,22,2,20,24,5,10,1,9,18,25,6,10,6,14,14,19,13,15,2,13
tr|Q9VKV1,DROME,FKL+19,Q9VKV1,1,76,12,70,75,58,68,29,59,62,87,21,57,43,43,54,73,67,63,17,46
sp|A1YK02,DROME,FKL+19,NUP75,1,52,14,38,51,28,25,19,39,31,83,15,21,23,30,42,48,32,38,12,27
tr|Q7KSW3,DROME,FKL+19,Q7KSW3,1,21,2,13,21,10,16,3,11,13,22,1,7,15,7,20,18,6,17,5,9
tr|Q7KUA4,DROME,FKL+19,Q7KUA4,1,54,17,67,59,25,38,12,41,59,53,9,40,33,19,31,50,30,48,7,8
tr|Q8IGY0,DROME,FKL+19,Q8IGY0,1,38,15,37,26,32,30,14,38,31,58,12,30,39,20,28,39,36,49,10,19
tr|Q7K2P3,DROME,FKL+19,Q7K2P3,1,54,0,11,16,3,13,1,4,27,13,1,14,0,31,3,13,9,16,0,1
tr|Q9VE75,DROME,FKL+19,Q9VE75,1,51,16,29,56,63,56,20,49,38,91,34,50,36,27,39,48,41,54,13,23
tr|Q9VRP2,DROME,FKL+19,Q9VRP2,1,41,8,16,37,10,26,7,23,44,27,8,14,13,14,8,18,24,38,1,14
tr|Q95U34,DROME,FKL+19,Q95U34,1,48,12,19,36,16,39,12,28,30,45,10,22,17,28,26,31,19,32,5,15
tr|Q9W125,DROME,FKL+19,Q9W125,1,16,8,10,15,10,8,4,3,15,13,3,7,10,7,9,12,10,7,2,6
tr|X2JIQ5,DROME,FKL+19,X2JIQ5,1,17,6,7,12,4,8,6,5,21,15,4,8,7,11,22,9,7,11,2,4
sp|Q9W4P5,DROME,FKL+19,VA0D1,1,29,10,24,27,22,19,9,26,19,37,9,19,13,12,11,14,13,17,1,19
tr|A1Z7H3,DROME,FKL+19,A1Z7H3,1,38,17,42,44,24,53,12,51,68,60,15,20,30,28,29,30,54,56,8,28
tr|D1Z3A1,DROME,FKL+19,D1Z3A1,1,16,0,4,3,5,8,2,4,25,14,1,8,8,3,11,11,6,10,1,4
sp|P54385,DROME,FKL+19,DHE3,1,47,7,28,39,23,50,17,43,37,40,15,23,23,18,34,27,37,30,3,21
tr|Q9VYT3,DROME,FKL+19,Q9VYT3,1,67,18,77,116,57,45,31,63,75,120,33,51,41,42,59,85,54,55,11,47
tr|Q0KHQ6,DROME,FKL+19,Q0KHQ6,1,37,8,30,40,17,30,19,33,27,46,12,24,26,20,35,30,30,45,5,22
tr|D2NUK9,DROME,FKL+19,D2NUK9,1,13,3,4,9,2,6,1,8,7,18,2,8,6,9,6,6,7,10,0,2
tr|Q24506,DROME,FKL+19,Q24506,1,56,11,24,32,22,58,7,26,42,43,18,25,21,25,23,28,27,34,5,16
tr|Q7K569,DROME,FKL+19,Q7K569,1,64,13,45,44,18,52,18,47,49,63,20,23,31,25,41,44,42,50,10,25
tr|Q9VV31,DROME,FKL+19,Q9VV31,1,31,1,1,1,4,1,8,9,9,10,1,2,18,2,1,10,11,31,0,4
sp|P15278,DROME,FKL+19,FAS3,1,43,8,21,40,10,32,5,34,20,37,4,30,27,26,29,40,38,40,8,16
tr|Q9V400,DROME,FKL+19,Q9V400,1,31,8,28,27,17,28,19,27,25,41,17,19,23,15,29,30,21,27,12,4
tr|Q9I7R1,DROME,FKL+19,Q9I7R1,1,21,2,21,16,13,20,11,18,25,39,6,12,22,10,17,12,16,20,2,10
tr|Q9VGQ1,DROME,FKL+19,Q9VGQ1,1,70,5,26,16,15,30,3,34,28,28,15,13,46,19,28,19,27,35,2,9
tr|Q540V5,DROME,FKL+19,Q540V5,1,17,7,22,34,14,23,8,22,31,32,10,14,13,18,21,20,14,30,1,10
tr|Q24050,DROME,FKL+19,Q24050,1,19,4,20,20,10,15,4,13,12,32,1,12,17,9,13,20,18,15,1,7
tr|C0MJU0,DROME,FKL+19,C0MJU0,1,45,2,28,40,12,15,3,11,72,21,9,12,32,15,11,54,22,20,1,6
tr|Q9VCC2,DROME,FKL+19,Q9VCC2,1,18,3,20,18,20,21,17,16,15,26,9,22,17,5,18,21,18,26,6,13
tr|Q9VYR1,DROME,FKL+19,Q9VYR1,1,21,1,19,18,14,31,3,13,22,24,3,15,17,7,13,12,20,27,4,19
tr|Q9VVU6,DROME,FKL+19,Q9VVU6,1,97,14,55,84,23,42,14,49,66,85,19,38,44,31,73,62,44,52,23,16
sp|Q08012,DROME,FKL+19,GRAP,1,12,1,18,17,11,11,6,12,13,17,5,10,7,6,13,18,8,13,5,8
tr|Q9VMI3,DROME,FKL+19,Q9VMI3,1,40,13,22,27,18,53,11,36,29,30,14,16,29,15,28,19,28,27,9,10
sp|Q9VXP4,DROME,FKL+19,PA1B2,1,11,5,17,15,6,11,7,14,14,25,2,20,14,7,11,9,11,18,3,5
sp|Q9VTH0,DROME,FKL+19,PLOD,1,46,8,54,43,43,43,21,42,41,76,17,40,29,26,33,39,38,40,9,33
tr|Q9VZF9,DROME,FKL+19,Q9VZF9,1,68,0,9,4,6,12,1,6,6,20,2,4,36,5,5,12,9,31,0,11
tr|Q9VA83,DROME,FKL+19,Q9VA83,1,25,4,14,14,12,11,8,9,13,26,2,10,5,10,10,21,13,10,0,10
tr|A8Y560,DROME,FKL+19,A8Y560,1,10,2,5,6,2,19,9,12,19,14,4,4,8,9,35,12,6,10,4,14
tr|Q7JV69,DROME,FKL+19,Q7JV69,1,41,2,14,34,31,18,6,15,28,38,10,20,10,19,9,21,19,25,4,10
tr|A4V4A1,DROME,FKL+19,A4V4A1,1,68,12,38,57,20,52,23,36,49,56,30,53,30,44,43,63,55,57,2,17
tr|Q9VJ19,DROME,FKL+19,Q9VJ19,1,11,3,3,6,1,7,1,6,13,13,3,3,2,4,5,8,10,6,0,6
tr|E1JH02,DROME,FKL+19,E1JH02,1,150,3,45,37,21,192,18,20,37,48,16,84,67,122,40,206,94,71,7,54
tr|Q9VF51,DROME,FKL+19,Q9VF51,1,107,31,60,80,50,94,25,73,79,101,29,62,59,54,49,89,70,88,14,40
tr|Q9V3A7,DROME,FKL+19,Q9V3A7,1,99,15,72,159,29,62,16,90,130,117,34,70,48,85,86,95,86,78,2,36
tr|M9PE74,DROME,FKL+19,M9PE74,1,248,5,77,70,33,369,85,36,83,102,35,95,154,296,89,292,84,93,8,51
tr|Q9V3N7,DROME,FKL+19,Q9V3N7,1,44,12,31,39,23,54,19,42,35,36,15,23,32,16,31,45,26,47,7,12
tr|Q9VBP6,DROME,FKL+19,Q9VBP6,1,56,8,27,32,22,46,3,34,38,30,11,22,22,17,25,34,18,47,6,11
tr|B4F631,DROME,FKL+19,B4F631,1,31,3,9,15,5,23,0,15,15,19,5,10,8,13,10,18,12,31,0,7
tr|Q9VGF0,DROME,FKL+19,Q9VGF0,1,71,16,49,56,41,47,25,39,45,98,18,51,64,46,37,47,56,54,6,15
sp|P00334,DROME,FKL+19,ADH,1,23,2,12,10,9,19,4,23,18,27,1,16,11,7,5,9,27,22,5,6
tr|Q8T3V6,DROME,FKL+19,Q8T3V6,1,18,4,10,21,10,10,7,8,26,26,12,20,12,9,24,13,9,21,5,6
tr|Q8MRM0,DROME,FKL+19,Q8MRM0,1,18,1,8,19,13,13,7,11,15,25,5,13,10,17,15,14,8,10,4,11
tr|M9PCE0,DROME,FKL+19,M9PCE0,1,47,5,22,26,18,42,6,21,38,44,10,22,17,6,10,24,15,36,2,4
tr|A1ZBJ2,DROME,FKL+19,A1ZBJ2,1,60,6,25,40,24,54,12,45,39,56,14,39,15,28,27,47,40,34,4,18
tr|Q59DP9,DROME,FKL+19,Q59DP9,1,74,17,63,74,38,99,26,107,76,114,34,60,54,60,61,82,83,94,13,26
tr|Q9VMI5,DROME,FKL+19,Q9VMI5,1,31,6,30,27,21,48,14,28,37,37,11,23,28,18,18,29,33,29,4,15
tr|Q8MLN4,DROME,FKL+19,Q8MLN4,1,67,16,35,27,23,50,6,53,17,82,15,56,32,62,43,85,76,44,13,38
tr|Q7KSQ0,DROME,FKL+19,Q7KSQ0,1,28,6,13,13,17,38,4,20,26,25,6,10,12,9,14,19,16,28,2,11
tr|Q0KIA8,DROME,FKL+19,Q0KIA8,1,43,6,31,46,32,40,14,30,55,62,19,32,34,34,27,46,37,38,6,25
tr|Q94883,DROME,FKL+19,Q94883,1,48,7,44,60,28,25,29,41,41,74,20,39,30,14,36,54,37,53,6,23
sp|P20240,DROME,FKL+19,OTE,1,55,0,20,33,6,15,2,12,23,32,2,14,33,14,42,46,28,28,1,18
sp|Q9TVM2,DROME,FKL+19,XPO1,1,59,18,55,75,59,30,27,78,67,117,41,69,30,59,37,56,59,84,12,31
tr|Q7KTV5,DROME,FKL+19,Q7KTV5,1,133,0,53,61,10,21,3,9,110,12,3,19,56,12,13,110,31,25,1,4
tr|Q9W3U9,DROME,FKL+19,Q9W3U9,1,10,3,11,19,7,14,3,8,10,26,3,5,7,12,14,12,6,12,0,5
tr|Q1RL12,DROME,FKL+19,Q1RL12,1,16,7,17,16,13,21,7,22,20,25,5,21,28,10,15,17,14,19,9,20
sp|Q9VCA9,DROME,FKL+19,SPCS3,1,12,2,12,2,11,9,3,7,9,23,2,17,5,6,6,9,16,15,4,9
tr|Q9BLY4,DROME,FKL+19,Q9BLY4,1,24,4,20,15,6,34,6,20,9,16,2,9,9,11,19,19,13,23,3,2
sp|Q7KLV9,DROME,FKL+19,PSD11,1,43,5,27,35,13,19,5,21,37,57,10,8,8,26,19,29,19,26,1,14
tr|A1Z7F1,DROME,FKL+19,A1Z7F1,1,48,4,50,26,23,40,8,32,24,48,15,31,26,29,29,42,37,39,16,34
tr|Q9U1J0,DROME,FKL+19,Q9U1J0,1,50,13,36,32,29,51,14,42,26,53,12,29,33,19,34,27,35,40,2,27
