Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
Q7K1W4,-0.352,2.43,4.123,2.326
Q24160,-0.114,1.365,5.152,3.547
Q9VB96,-0.689,2.608,2.149,1.12
Q868Z9,2.019,8.011,2.696,3.612
Q9VSY0,3.413,7.467,4.439,3.606
O96553,2.035,11.717,3.55,2.492
Q960T2,2.202,8.965,2.473,1.452
Q7K2G1,-1.576,12.166,4.089,3.006
Q9VTF9,-1.142,3.946,2.209,2.613
M9PB90,1.018,3.131,1.839,2.303
Q9VFR2,3.731,10.359,6.239,2.319
Q7K110,-0.799,10.35,3.065,4.114
Q9VZU4,2.65,8.029,3.577,3.831
B6IDQ5,-1.558,10.157,2.278,2.066
Q9VHB1,3.338,9.035,3.798,2.956
O62602,-1.346,6.505,1.976,3.344
P52295,-2.915,5.606,2.96,4.256
Q541C9,0.042,0.071,0.437,2.314
Q9V463,4.075,8.011,0.868,2.847
Q9W0L7,-0.373,1.202,1.74,2.917
Q9VXI6,2.019,5.291,5.536,4.806
A4V4A5,-1.863,6.343,5.082,5.307
X2JFD6,1.573,8.561,4.177,2.82
Q08473,-1.16,9.25,4.299,4.121
Q9VMD7,0.191,0.722,3.781,1.726
Q9I7K0,-0.657,0.74,2.878,4.245
P62152,-0.787,7.79,4.893,3.743
Q9VRD9,-2.475,5.995,1.969,3.148
Q9V3L7,1.844,7.141,5.033,4.295
Q7KA66,1.372,1.261,-0.707,3.611
Q9VVH3,1.978,5.987,4.098,4.397
Q7K2W6,2.043,10.759,2.042,2.661
A1Z945,-1.044,4.286,0.259,1.555
P25439,-0.284,0.838,2.117,3.281
A4V391,-2.116,7.719,2.989,3.625
Q8IN25,2.722,8.967,6.984,3.702
Q9VHI8,-0.968,8.709,2.227,3.35
Q9VIH9,1.512,8.517,3.764,4.205
X2JEF0,2.091,9.464,2.739,1.982
P12080,2.145,8.447,2.189,2.14
Q9VSI1,0.772,1.603,1.689,3.178
Q9VHC7,-1.194,3.628,2.059,4.045
A1ZBM2,-1.071,4.881,2.266,3.216
Q8SYJ2,2.417,4.077,4.424,4.474
Q9W1G5,2.98,6.373,2.015,2.638
Q8IQW2,1.642,4.014,7.334,5
P25867,-1.429,9.977,5.154,4.721
C6SUY3,-1.689,3.865,0.624,3.294
P18432,4.49,9.945,7.124,5.7
Q9V438,-1.161,7.917,3.507,4.388
Q9GNH8,2.332,12.377,4.374,2.222
Q8IRQ5,2.177,10.774,4.401,3.292
Q7KN81,-1.652,2.203,0.98,5.401
Q24498,2.393,8.352,1.954,1.287
Q9W401,4.548,10.6,6.553,4.272
Q59E65,2.887,11.44,3.177,1.798
C8VV67,-0.416,0.723,3.377,4.471
Q86BH6,2.99,9.995,4.805,3.979
A4UZZ4,2.467,12.63,5.548,4.175
Q9VQL4,2.113,4.016,1.7,1.558
Q7KSM5,-2.228,13.932,2.031,3.825
Q8SZM2,2.003,9.843,3.62,4.147
Q7JVX3,0.406,0.144,1.698,2.794
X2JCV2,1.228,1.467,5.34,-1.706
P46415,-1.27,6.438,3.18,3.104
M9MRD0,-1.481,4.956,3.686,2.785
Q9VCC6,0.073,0.585,3.352,2.191
X2J8C3,0.57,1.808,5.256,4.065
A1Z9J3,2.144,7.888,2.88,2.64
Q9VHJ8,2.535,12.07,4.877,3.481
M9PG22,2.513,11.834,5.293,4.825
Q24492,-2.049,10,2.16,3.225
A1YK63,-1.212,6.817,1.226,2.012
A1ZBF1,-1.036,2.265,0.984,3.087
Q9VJI5,1.452,1.071,1.204,2.223
P91927,0.792,6.34,3.724,2.362
A4V2B8,-1.598,10.764,3.22,3.683
Q9GYU8,-1.216,11.052,1.625,2.464
Q9V3W2,2.944,5.573,4.067,3.923
Q9VAM6,1.28,5.507,3.762,4.083
O97102,-2.238,10.046,5.159,6.164
P08266,-0.626,1.574,2.037,3.489
M9MS15,3.914,0.419,0.365,3.99
Q94523,3.166,12.638,4.984,3.706
Q9VN13,1.41,6.95,3.224,3.201
Q8SYS2,2.597,9.237,3.289,0.504
Q9V4C8,0.409,0.412,1.307,2.682
E1JH83,1.53,3.372,3.783,2.152
Q7JZW0,1.895,8.131,2.879,2.538
Q9W0H6,-1.141,7.769,0.783,2.332
Q9VTW1,-1.501,10.231,2.754,3.551
Q9VCC0,-1.589,9.92,2.06,2.053
X2JB48,2.732,9.395,7.126,6.053
P27864,1.305,4.913,1.61,2.789
Q9VTR6,1.339,6.97,-2.054,3.303
Q9VDE4,1.033,0.239,1.169,2.231
Q9VAD0,-0.796,4.443,1.85,3.014
Q9VCH5,0.819,0.724,1.518,2.769
M9NF33,2.244,4.106,2.391,3.362
Q9W1H4,0.632,0.213,0.129,1.608
O18413,-1.294,6.969,3.863,3.955
Q9NAZ4,1.182,4.634,3.911,1.175
Q9VAY2,-1.118,7.542,4.841,4.385
Q9V9E3,0.521,0.23,1.691,2.909
M9NEQ9,-1.305,8.267,5.861,6.496
Q95RF6,0.481,0.332,3.126,4.197
E1JIK0,-1.577,5.944,3.256,4.286
Q9VCB6,-1.686,6.068,2.134,2.341
Q76NQ0,-1.127,14.356,3.532,3.852
