"accession","SGDID","associations"
"YMR219W","S000004832","N"
"YMR220W","S000004833","C,N"
"YMR221C","S000004834","M,V,O"
"YMR222C","S000004835","C"
"YMR223W","S000004836","N"
"YMR224C","S000004837","N,M"
"YMR225C","S000004838","M"
"YMR226C","S000004839","C,N"
"YMR227C","S000004840","N"
"YMR228W","S000004841","M"
"YMR229C","S000004842","N,U"
"YMR230W","S000004843","C"
"YMR231W","S000004844","V"
"YMR232W","S000004845","C,N,M"
"YMR233W","S000004846","C,N,U"
"YMR234W","S000004847","N"
"YMR235C","S000004848","C,N"
"YMR236W","S000004849","N"
"YMR237W","S000004850","G"
"YMR238W","S000004851","E"
"YMR239C","S000004852","U"
"YMR240C","S000004853","N"
"YMR241W","S000004854","M,R"
"YMR242C","S000004855","C"
"YMR243C","S000004856","M"
"YMR244C-A","S000004857","C,N,M"
"YMR246W","S000004860","C"
"YMR247C","S000004861","N"
"YMR250W","S000004862","C"
"YMR251W","S000004863","C"
"YMR251W-A","S000004864","E"
"YMR252C","S000004865","M"
"YMR253C","S000004866","C"
"YMR255W","S000004868","C,N,L"
"YMR256C","S000004869","M,R"
"YMR257C","S000004870","M"
"YMR258C","S000004871","C,N"
"YMR259C","S000004872","C"
"YMR261C","S000004874","C"
"YMR263W","S000004876","N"
"YMR264W","S000004877","M,E,D"
"YMR267W","S000004880","C,M"
"YMR268C","S000004881","N"
"YMR269W","S000004882","N,U"
"YMR270C","S000004883","N,U"
"YMR271C","S000004884","C"
"YMR272C","S000004885","E,D"
"YMR273C","S000004886","C,K,B"
"YMR274C","S000004887","E,D"
"YMR275C","S000004888","C"
"YMR276W","S000004889","N"
"YMR277W","S000004890","N"
"YMR278W","S000004891","C,N"
"YMR280C","S000004893","C,N"
"YMR281W","S000004894","E,D"
"YMR282C","S000004895","M"
"YMR283C","S000004896","C"
"YMR284W","S000004897","N"
"YMR285C","S000004898","C,N"
"YMR286W","S000004899","M"
"YMR287C","S000004900","M"
"YMR288W","S000004901","N"
"YMR289W","S000004902","C"
"YMR290C","S000004903","N,U"
"YMR291W","S000004905","C,N"
"YMR292W","S000004906","E,G,A"
"YMR293C","S000004907","M"
"YMR294W","S000004908","C"
"YMR296C","S000004911","C,E,D"
"YMR297W","S000004912","C,E,V"
"YMR298W","S000004913","E,D"
"YMR299C","S000004914","C"
"YMR300C","S000004915","C"
"YMR301C","S000004916","M,R"
"YMR302C","S000004917","M,R"
"YMR303C","S000004918","C"
"YMR304W","S000004920","C"
"YMR305C","S000004921","C,E,X"
"YMR306W","S000004923","M"
"YMR307W","S000004924","M,P,X"
"YMR308C","S000004925","C,N"
"YMR309C","S000004926","C"
"YMR310C","S000004927","N"
"YMR311C","S000004928","C,N"
"YMR312W","S000004929","C,N"
"YMR314W","S000004931","C,N"
"YMR315W","S000004932","C,N"
"YMR316W","S000004935","C"
"YMR319C","S000004938","P"
"YMR323W","S000004942","C"
"YNL001W","S000004946","C"
"YNL002C","S000004947","N,U"
"YNL003C","S000004948","M,R"
"YNL004W","S000004949","C,N"
"YNL005C","S000004950","M"
"YNL006W","S000004951","V"
"YNL007C","S000004952","C,N"
"YNL008C","S000004953","N,D"
"YNL009W","S000004954","C,M"
"YNL010W","S000004955","C,N"
"YNL012W","S000004957","N,E,D,L"
"YNL015W","S000004960","C,N"
"YNL016W","S000004961","C,N"
"YNL019C","S000004964","P"
"YNL020C","S000004965","C"
"YNL021W","S000004966","N"
"YNL022C","S000004967","N"
"YNL023C","S000004968","C,N"
"YNL024C","S000004969","C"
"YNL025C","S000004970","N"
"YNL026W","S000004971","M,T"
"YNL027W","S000004972","C,N"
"YNL029C","S000004974","G"
"YNL030W","S000004975","N"
"YNL031C","S000004976","N"
"YNL032W","S000004977","C"
"YNL033W","S000004978","P"
"YNL035C","S000004980","N"
"YNL036W","S000004981","C,N"
"YNL037C","S000004982","M"
"YNL039W","S000004984","N"
"YNL040W","S000004985","C"
"YNL041C","S000004986","G"
"YNL042W","S000004987","C,N"
"YNL044W","S000004989","E,G,A"
"YNL045W","S000004990","C,N"
"YNL046W","S000004991","E,D"
"YNL048W","S000004993","E,D"
"YNL049C","S000004994","C,E,G"
"YNL051W","S000004996","G"
"YNL052W","S000004997","M,R"
"YNL053W","S000004998","C,N"
"YNL054W","S000004999","C,V,O"
"YNL055C","S000005000","C,M,T"
"YNL056W","S000005001","C"
"YNL058C","S000005003","V,O"
"YNL059C","S000005004","N"
"YNL061W","S000005005","N,U"
"YNL062C","S000005006","N"
"YNL063W","S000005007","M"
"YNL064C","S000005008","C"
"YNL065W","S000005009","C,P"
"YNL066W","S000005010","X"
"YNL067W","S000005011","C"
"YNL068C","S000005012","N"
"YNL069C","S000005013","C"
"YNL070W","S000005014","M,T"
"YNL071W","S000005015","M"
"YNL072W","S000005016","C,N"
"YNL073W","S000005017","C,M"
"YNL074C","S000005018","C"
"YNL075W","S000005019","N,U"
"YNL076W","S000005020","C,N"
"YNL077W","S000005021","C,N,M"
"YNL078W","S000005022","C,N,K"
"YNL079C","S000005023","C"
"YNL080C","S000005024","E,D"
"YNL081C","S000005025","C,M"
"YNL082W","S000005026","C,N"
"YNL083W","S000005027","M,R"
"YNL084C","S000005028","C"
"YNL085W","S000005029","C"
"YNL087W","S000005031","P"
"YNL088W","S000005032","N,M"
"YNL091W","S000005035","C"
"YNL094W","S000005038","C"
"YNL096C","S000005040","C,N,U"
"YNL097C","S000005041","N"
"YNL098C","S000005042","M"
"YNL099C","S000005043","C"
"YNL100W","S000005044","M,R"
"YNL101W","S000005045","V,O"
"YNL102W","S000005046","N,M"
"YNL103W","S000005047","N"
"YNL104C","S000005048","C,M"
"YNL106C","S000005050","C"
"YNL107W","S000005051","C,N"
"YNL108C","S000005052","C,N"
"YNL110C","S000005054","C,N,U"
"YNL111C","S000005055","E,D"
"YNL112W","S000005056","C,N,M"
"YNL113W","S000005057","N,U"
"YNL115C","S000005059","V,O"
"YNL116W","S000005060","C,B"
"YNL117W","S000005061","C"
"YNL118C","S000005062","C,N"
"YNL119W","S000005063","C"
"YNL121C","S000005065","M,T"
"YNL122C","S000005066","M"
"YNL123W","S000005067","N"
"YNL124W","S000005068","N"
"YNL125C","S000005069","M,E,D"
"YNL126W","S000005070","C,N"
"YNL127W","S000005071","E"
"YNL128W","S000005072","C"
"YNL129W","S000005073","C"
"YNL130C","S000005074","M,E,G,D,T"
"YNL131W","S000005075","M,T"
"YNL132W","S000005076","N,U"
"YNL133C","S000005077","N"
"YNL134C","S000005078","C,N"
"YNL135C","S000005079","C,N,M"
"YNL136W","S000005080","N"
"YNL137C","S000005081","M"
"YNL138W","S000005082","C"
"YNL139C","S000005083","N"
"YNL141W","S000005085","C,N"
"YNL142W","S000005086","P"
"YNL144C","S000005088","M"
"YNL145W","S000005089","X"
"YNL146W","S000005090","E,D"
"YNL147W","S000005091","C,N,U"
"YNL148C","S000005092","C,N"
"YNL149C","S000005093","N,E,D,L"
"YNL151C","S000005095","N"
"YNL152W","S000005096","C,K"
"YNL153C","S000005097","C"
"YNL154C","S000005098","K"
"YNL155W","S000005099","C,N"
"YNL156C","S000005100","E,D"
"YNL157W","S000005101","C,N"
"YNL158W","S000005102","E,D"
"YNL159C","S000005103","N"
"YNL160W","S000005104","X"
"YNL161W","S000005105","C,N,K,B"
"YNL162W","S000005106","C"
"YNL163C","S000005107","C"
"YNL164C","S000005108","C,N"
"YNL166C","S000005110","C,K"
"YNL167C","S000005111","N"
"YNL168C","S000005112","M"
"YNL169C","S000005113","M"
"YNL172W","S000005116","C,N"
"YNL173C","S000005117","C,N"
"YNL175C","S000005119","N,U"
"YNL176C","S000005120","V,O"
"YNL177C","S000005121","M"
"YNL178W","S000005122","C"
"YNL180C","S000005124","C,N"
"YNL181W","S000005125","E,D"
"YNL182C","S000005126","N"
"YNL183C","S000005127","C,G"
"YNL185C","S000005129","M"
"YNL186W","S000005130","N"
"YNL187W","S000005131","N"
"YNL188W","S000005132","C"
"YNL189W","S000005133","C,N"
"YNL191W","S000005135","C"
"YNL192W","S000005136","P"
"YNL194C","S000005138","C,E,P"
"YNL195C","S000005139","M"
"YNL197C","S000005141","C"
"YNL199C","S000005143","N"
"YNL200C","S000005144","C,M"
"YNL201C","S000005145","N"
"YNL206C","S000005150","N"
"YNL207W","S000005151","C,N"
"YNL208W","S000005152","M"
"YNL209W","S000005153","C"
"YNL210W","S000005154","N"
"YNL211C","S000005155","M"
"YNL212W","S000005156","C"
"YNL213C","S000005157","M"
"YNL215W","S000005159","N"
"YNL216W","S000005160","N"
"YNL217W","S000005161","V"
"YNL218W","S000005162","C,N"
"YNL219C","S000005163","E,D"
"YNL220W","S000005164","C"
"YNL221C","S000005165","C,N"
"YNL222W","S000005166","N"
"YNL223W","S000005167","C,N"
"YNL224C","S000005168","C,N,U"
"YNL225C","S000005169","C"
"YNL227C","S000005171","C,N,M,U"
"YNL229C","S000005173","C"
"YNL230C","S000005174","C,N"
"YNL231C","S000005175","C,E"
"YNL232W","S000005176","C,N,U"
"YNL233W","S000005177","K"
"YNL234W","S000005178","C"
"YNL236W","S000005180","N"
"YNL238W","S000005182","G"
"YNL239W","S000005183","C,M"
"YNL240C","S000005184","C,N"
"YNL241C","S000005185","C"
"YNL242W","S000005186","C"
"YNL243W","S000005187","C,B,P"
"YNL245C","S000005189","N"
"YNL246W","S000005190","N"
"YNL247W","S000005191","C"
"YNL248C","S000005192","N,U"
"YNL249C","S000005193","M"
"YNL250W","S000005194","N,M"
"YNL251C","S000005195","N"
"YNL252C","S000005196","M"
"YNL253W","S000005197","N"
"YNL254C","S000005198","C,N"
"YNL255C","S000005199","C"
"YNL256W","S000005200","C,M"
"YNL257C","S000005201","C,P"
"YNL258C","S000005202","N,E"
"YNL259C","S000005203","C"
"YNL260C","S000005204","C,N"
"YNL261W","S000005205","N"
"YNL262W","S000005206","N"
"YNL263C","S000005207","E,G,D,A"
"YNL264C","S000005208","C"
"YNL265C","S000005209","C"
"YNL267W","S000005211","N"
"YNL268W","S000005212","M,P"
"YNL270C","S000005214","P"
"YNL271C","S000005215","C,K,B"
"YNL272C","S000005216","K,B"
"YNL273W","S000005217","N"
"YNL274C","S000005218","C,N,M"
"YNL275W","S000005219","V,P,O"
"YNL277W","S000005221","C"
"YNL278W","S000005222","C,N,K"
"YNL279W","S000005223","P"
"YNL280C","S000005224","E"
"YNL281W","S000005225","C,N"
"YNL282W","S000005226","N"
"YNL283C","S000005227","C,P"
"YNL284C","S000005228","M"
"YNL287W","S000005231","C,G"
"YNL288W","S000005232","C,N"
"YNL289W","S000005233","C,N"
"YNL290W","S000005234","N"
"YNL291C","S000005235","E,P"
"YNL292W","S000005236","N,M"
"YNL293W","S000005237","C,K,B"
"YNL294C","S000005238","P"
"YNL297C","S000005241","G"
"YNL298W","S000005242","N"
"YNL299W","S000005243","N,U"
"YNL300W","S000005244","X"
"YNL301C","S000005245","C"
"YNL302C","S000005246","C"
"YNL304W","S000005248","E,K,B"
"YNL305C","S000005249","M,E,V,D,O"
"YNL306W","S000005250","M"
"YNL308C","S000005252","N,U"
"YNL309W","S000005253","C,N"
"YNL310C","S000005254","M"
"YNL311C","S000005255","C"
"YNL312W","S000005256","N"
"YNL313C","S000005257","C,N"
"YNL314W","S000005258","N"
"YNL315C","S000005259","M"
"YNL316C","S000005260","C"
"YNL317W","S000005261","N"
"YNL318C","S000005262","M,P"
"YNL320W","S000005264","M"
"YNL321W","S000005265","V,D,O"
"YNL322C","S000005266","P,X"
"YNL323W","S000005267","C,E,P"
"YNL325C","S000005269","V"
"YNL326C","S000005270","V,O"
"YNL327W","S000005271","X"
"YNL328C","S000005272","M"
"YNL329C","S000005273","C"
"YNL330C","S000005274","C,N"
"YNL339C","S000005283","N"
"YNR001C","S000005284","M"
"YNR002C","S000005285","M,P"
"YNR003C","S000005286","C,N,M"
"YNR004W","S000005287","N,U"
"YNR007C","S000005290","C"
"YNR008W","S000005291","E,D"
"YNR009W","S000005292","C,N"
"YNR010W","S000005293","N"
"YNR011C","S000005294","N"
"YNR012W","S000005295","C,N"
"YNR013C","S000005296","V,O"
"YNR014W","S000005297","C"
"YNR015W","S000005298","C,N"
"YNR016C","S000005299","C,M,E"
"YNR017W","S000005300","M,R"
"YNR018W","S000005301","M"
"YNR019W","S000005302","E,D"
"YNR020C","S000005303","M"
"YNR021W","S000005304","E,D"
"YNR022C","S000005305","M"
"YNR023W","S000005306","N"
"YNR024W","S000005307","N"
"YNR026C","S000005309","E,G,D"
"YNR027W","S000005310","C,N"
"YNR029C","S000005312","C"
"YNR030W","S000005313","E,D"
"YNR031C","S000005314","K,B"
"YNR032W","S000005315","C,N"
"YNR033W","S000005316","C"
"YNR034W","S000005317","C,N"
"YNR035C","S000005318","C"
"YNR036C","S000005319","M"
"YNR037C","S000005320","M"
"YNR038W","S000005321","N,U"
"YNR039C","S000005322","E,D"
"YNR040W","S000005323","M"
"YNR041C","S000005324","M,R"
"YNR043W","S000005326","C"
"YNR044W","S000005327","X"
"YNR045W","S000005328","M"
"YNR046W","S000005329","C,N,U"
"YNR047W","S000005330","C"
"YNR049C","S000005332","C,N,K,B"
"YNR050C","S000005333","C"
"YNR051C","S000005334","C"
"YNR052C","S000005335","C,N"
"YNR053C","S000005336","N,U"
"YNR054C","S000005337","C,N,U"
"YNR055C","S000005338","M,P"
"YNR056C","S000005339","P"
"YNR057C","S000005340","C"
"YNR058W","S000005341","C"
"YNR060W","S000005343","P"
"YNR061C","S000005344","C,V,O"
"YNR063W","S000005346","N"
"YNR067C","S000005350","X"
"YNR070W","S000005353","M,P"
"YNR072W","S000005355","P"
"YNR074C","S000005357","N,M,P,T"
"YNR075W","S000005358","C,E"
"YOL001W","S000005361","C,N"
"YOL002C","S000005362","P"
"YOL003C","S000005363","E,D"
"YOL004W","S000005364","N"
"YOL005C","S000005365","N"
"YOL006C","S000005366","N,U"
"YOL007C","S000005367","K"
"YOL008W","S000005368","M"
"YOL009C","S000005369","C,N,M,E"
"YOL010W","S000005370","N,U"
"YOL011W","S000005371","X"
"YOL012C","S000005372","N"
"YOL013C","S000005373","E,D"
"YOL016C","S000005376","C"
"YOL017W","S000005377","C,N"
"YOL018C","S000005378","G"
"YOL019W","S000005379","V,P,O"
"YOL020W","S000005380","P"
"YOL021C","S000005381","C,N,M,U"
"YOL022C","S000005382","C"
"YOL023W","S000005383","M"
"YOL025W","S000005385","M"
"YOL026C","S000005386","M,T"
"YOL027C","S000005387","M,R"
"YOL028C","S000005388","N"
"YOL030W","S000005390","X"
"YOL031C","S000005391","E"
"YOL032W","S000005392","C,N"
"YOL033W","S000005393","C,M"
"YOL034W","S000005394","N"
"YOL038W","S000005398","C,N,M"
"YOL039W","S000005399","C"
"YOL040C","S000005400","C"
"YOL041C","S000005401","N,U"
"YOL042W","S000005402","M"
"YOL043C","S000005403","N"
"YOL044W","S000005404","E,D"
"YOL045W","S000005405","C,M"
"YOL047C","S000005407","C"
"YOL051W","S000005411","N"
"YOL052C","S000005412","C,N"
"YOL052C-A","S000005413","C"
"YOL053W","S000005414","M"
"YOL054W","S000005415","N"
"YOL056W","S000005417","C"
"YOL057W","S000005418","C,N"
"YOL058W","S000005419","C"
"YOL059W","S000005420","C,M"
"YOL060C","S000005421","V,O"
"YOL061W","S000005422","C"
"YOL064C","S000005425","C,N"
"YOL065C","S000005426","E"
"YOL066C","S000005427","C"
"YOL067C","S000005428","C,N"
"YOL068C","S000005429","N"
"YOL069W","S000005430","N"
"YOL070C","S000005431","C,K"
"YOL071W","S000005432","M"
"YOL072W","S000005433","N"
"YOL076W","S000005436","C"
"YOL077C","S000005437","N,U"
"YOL078W","S000005438","C,V"
"YOL080C","S000005440","N,U"
"YOL081W","S000005441","C,M,D"
"YOL082W","S000005442","C"
"YOL084W","S000005444","P"
"YOL086C","S000005446","C"
"YOL087C","S000005447","C"
"YOL088C","S000005448","E"
"YOL089C","S000005449","C,N,M"
"YOL090W","S000005450","N"
"YOL091W","S000005451","C"
"YOL092W","S000005452","C,V,O"
"YOL093W","S000005453","C,N"
"YOL094C","S000005454","N"
"YOL095C","S000005455","M"
"YOL096C","S000005456","M"
"YOL097C","S000005457","C"
"YOL098C","S000005458","C"
"YOL100W","S000005460","C,N"
"YOL101C","S000005461","C,N,E,D"
"YOL102C","S000005462","C,N"
"YOL103W","S000005463","P"
"YOL104C","S000005464","N"
"YOL107W","S000005467","G,A"
"YOL108C","S000005468","N"
"YOL109W","S000005469","M"
"YOL110W","S000005470","E"
"YOL111C","S000005471","C,N"
"YOL112W","S000005472","C,K,B"
"YOL113W","S000005473","N"
"YOL115W","S000005475","N,U"
"YOL116W","S000005476","C,N"
"YOL117W","S000005477","C,N"
"YOL120C","S000005480","C"
"YOL121C","S000005481","C"
"YOL122C","S000005482","P"
"YOL123W","S000005483","C,N"
"YOL124C","S000005484","C"
"YOL125W","S000005485","C,N"
"YOL126C","S000005486","C"
"YOL127W","S000005487","C"
"YOL129W","S000005489","M,V,O"
"YOL130W","S000005490","P"
"YOL132W","S000005492","P"
"YOL133W","S000005493","C,N"
"YOL135C","S000005495","N"
"YOL136C","S000005496","C"
"YOL137W","S000005497","G"
"YOL138C","S000005498","V"
"YOL139C","S000005499","C,N"
"YOL140W","S000005500","M"
"YOL141W","S000005501","C,M"
"YOL142W","S000005502","C,N,U"
"YOL143C","S000005503","C,N"
"YOL144W","S000005504","N,U"
"YOL145C","S000005505","N"
"YOL146W","S000005506","N"
"YOL147C","S000005507","E"
"YOL148C","S000005508","N"
"YOL149W","S000005509","C"
"YOL151W","S000005511","C,N"
"YOL152W","S000005512","P"
"YOL155C","S000005515","X"
"YOL156W","S000005516","P"
"YOL158C","S000005518","P"
"YOL159C","S000005519","C"
"YOR001W","S000005527","N,U"
"YOR002W","S000005528","E,D"
"YOR004W","S000005530","N,M,U"
"YOR005C","S000005531","N"
"YOR006C","S000005532","C,N"
"YOR007C","S000005533","C"
"YOR008C","S000005534","K,P"
"YOR009W","S000005535","X"
"YOR010C","S000005536","X"
"YOR011W","S000005537","M,P"
"YOR014W","S000005540","C,N,K"
"YOR016C","S000005542","E,D"
"YOR017W","S000005543","M"
"YOR020C","S000005546","C,M"
"YOR021C","S000005547","C"
"YOR022C","S000005548","M"
"YOR023C","S000005549","C,N"
"YOR025W","S000005551","C,N"
"YOR026W","S000005552","N"
"YOR027W","S000005553","C"
"YOR028C","S000005554","C,N"
"YOR030W","S000005556","P"
"YOR031W","S000005557","C"
"YOR032C","S000005558","N"
"YOR033C","S000005559","C,N"
"YOR034C","S000005560","G"
"YOR035C","S000005561","C"
"YOR036W","S000005562","G"
"YOR037W","S000005563","M"
"YOR038C","S000005564","N"
"YOR040W","S000005566","M"
"YOR042W","S000005568","C"
"YOR044W","S000005570","E,D"
"YOR045W","S000005571","M,T"
"YOR046C","S000005572","C,N,B"
"YOR047C","S000005573","N"
"YOR048C","S000005574","N,M"
"YOR049C","S000005575","E,P"
"YOR051C","S000005577","N"
"YOR052C","S000005578","N"
"YOR056C","S000005582","C,N,E,U"
"YOR058C","S000005584","C"
"YOR060C","S000005586","C,N,E"
"YOR062C","S000005588","C,N"
"YOR063W","S000005589","C"
"YOR064C","S000005590","N"
"YOR065W","S000005591","M,R"
"YOR066W","S000005592","C,N"
"YOR067C","S000005593","E,D"
"YOR068C","S000005594","V"
"YOR069W","S000005595","C,G"
"YOR070C","S000005596","M,G"
"YOR071C","S000005597","P"
"YOR073W","S000005599","C,N"
"YOR074C","S000005600","N"
"YOR075W","S000005601","E,D"
"YOR076C","S000005602","C"
"YOR077W","S000005603","C,N"
"YOR078W","S000005604","N,U"
"YOR079C","S000005605","G,A"
"YOR080W","S000005606","N"
"YOR083W","S000005609","C,N"
"YOR085W","S000005611","E,D"
"YOR086C","S000005612","M,P"
"YOR087W","S000005613","V,O"
"YOR089C","S000005615","M"
"YOR090C","S000005616","M"
"YOR091W","S000005617","C"
"YOR092W","S000005618","C,E,D"
"YOR093C","S000005619","N"
"YOR094W","S000005620","G,K,B"
"YOR095C","S000005621","C,N"
"YOR096W","S000005622","C,N,U"
"YOR098C","S000005624","N,L"
"YOR099W","S000005625","G,A"
"YOR100C","S000005626","M,R"
"YOR101W","S000005627","C,N"
"YOR103C","S000005629","E,D"
"YOR106W","S000005632","V,O"
"YOR107W","S000005633","C,N"
"YOR108W","S000005634","M"
"YOR109W","S000005635","C"
"YOR110W","S000005636","N"
"YOR111W","S000005637","C"
"YOR112W","S000005638","C"
"YOR113W","S000005639","N"
"YOR115C","S000005641","E,G"
"YOR116C","S000005642","N"
"YOR117W","S000005643","C,N"
"YOR118W","S000005644","C"
"YOR119C","S000005645","C,N"
"YOR120W","S000005646","C,N"
"YOR122C","S000005648","C"
"YOR123C","S000005649","N"
"YOR124C","S000005650","C"
"YOR125C","S000005651","M"
"YOR127W","S000005653","C,K"
"YOR128C","S000005654","C"
"YOR129C","S000005655","C,N,K"
"YOR130C","S000005656","M,R"
"YOR131C","S000005657","C,N"
"YOR133W","S000005659","C"
"YOR136W","S000005662","M"
"YOR138C","S000005664","C,N"
"YOR140W","S000005666","N"
"YOR141C","S000005667","C,N"
"YOR142W","S000005668","M"
"YOR143C","S000005669","C"
"YOR144C","S000005670","C,N,M"
"YOR145C","S000005671","C,N,U"
"YOR147W","S000005673","M,R"
"YOR148C","S000005674","C,N"
"YOR149C","S000005675","E,D"
"YOR150W","S000005676","M"
"YOR151C","S000005677","N,M"
"YOR153W","S000005679","M,P"
"YOR156C","S000005682","C,N"
"YOR157C","S000005683","C,N"
"YOR158W","S000005684","M"
"YOR159C","S000005685","C,N"
"YOR160W","S000005686","C,N"
"YOR161C","S000005687","P"
"YOR162C","S000005688","C,N"
"YOR163W","S000005689","C,N"
"YOR164C","S000005690","C"
"YOR165W","S000005691","C,E,D"
"YOR166C","S000005692","C,N"
"YOR167C","S000005693","C"
"YOR168W","S000005694","C,M"
"YOR171C","S000005697","E,G"
"YOR172W","S000005698","C,N"
"YOR173W","S000005699","C"
"YOR174W","S000005700","N"
"YOR175C","S000005701","E,D"
"YOR176W","S000005702","M"
"YOR177C","S000005703","C"
"YOR179C","S000005705","N"
"YOR181W","S000005707","C"
"YOR182C","S000005708","C"
"YOR184W","S000005710","C"
"YOR185C","S000005711","N"
"YOR187W","S000005713","M"
"YOR188W","S000005714","C,M,K,B"
"YOR189W","S000005715","N"
"YOR190W","S000005716","X"
"YOR191W","S000005717","C,N,M,U"
"YOR194C","S000005720","C,N"
"YOR195W","S000005721","C"
"YOR196C","S000005722","M"
"YOR197W","S000005723","C,N"
"YOR201C","S000005727","M"
"YOR204W","S000005730","C"
"YOR205C","S000005731","M"
"YOR206W","S000005732","N,M,U"
"YOR207C","S000005733","N"
"YOR208W","S000005734","C,N"
"YOR209C","S000005735","C,N"
"YOR210W","S000005736","N,U"
"YOR211C","S000005737","M,R"
"YOR213C","S000005739","N"
"YOR214C","S000005740","X"
"YOR215C","S000005741","M"
"YOR216C","S000005742","G"
"YOR217W","S000005743","N"
"YOR219C","S000005745","V,O"
"YOR220W","S000005746","C"
"YOR221C","S000005747","M"
"YOR222W","S000005748","M,R"
"YOR223W","S000005749","E,D"
"YOR224C","S000005750","N"
"YOR226C","S000005752","M"
"YOR227W","S000005753","C,M"
"YOR228C","S000005754","M,T"
"YOR229W","S000005755","N"
"YOR230W","S000005756","C,N"
"YOR231W","S000005757","B"
"YOR232W","S000005758","M"
"YOR233W","S000005759","K"
"YOR234C","S000005760","C"
"YOR236W","S000005762","C,M"
"YOR238W","S000005764","C"
"YOR239W","S000005765","C"
"YOR241W","S000005767","C,M"
"YOR243C","S000005769","N"
"YOR244W","S000005770","N"
"YOR245C","S000005771","E,D"
"YOR247W","S000005773","C,B,X"
"YOR249C","S000005775","N"
"YOR250C","S000005776","N"
"YOR251C","S000005777","C,M"
"YOR252W","S000005778","N"
"YOR253W","S000005779","C"
"YOR254C","S000005780","N,M,E,D,L"
"YOR257W","S000005783","C,N"
"YOR258W","S000005784","C,N"
"YOR259C","S000005785","C,N"
"YOR262W","S000005788","C"
"YOR264W","S000005790","C,N,K"
"YOR265W","S000005791","C"
"YOR266W","S000005792","M,R"
"YOR267C","S000005793","C"
"YOR269W","S000005795","C,N"
"YOR270C","S000005796","V,O"
"YOR271C","S000005797","M"
"YOR272W","S000005798","N,U"
"YOR273C","S000005799","P"
"YOR274W","S000005800","C,N,M,U"
"YOR275C","S000005801","C,N"
"YOR276W","S000005802","C"
"YOR279C","S000005805","N"
"YOR281C","S000005807","C"
"YOR283W","S000005809","C,N"
"YOR284W","S000005810","C"
"YOR285W","S000005811","M,E"
"YOR286W","S000005812","M"
"YOR287C","S000005813","N,U"
"YOR288C","S000005814","E"
"YOR289W","S000005815","C,N"
"YOR290C","S000005816","N"
"YOR291W","S000005817","V,O"
"YOR292C","S000005818","V,O"
"YOR293W","S000005819","C"
"YOR294W","S000005820","N,U"
"YOR295W","S000005821","N,U"
"YOR296W","S000005822","C"
"YOR297C","S000005823","M,R"
"YOR299W","S000005825","G"
"YOR301W","S000005827","K,B,P"
"YOR303W","S000005829","C"
"YOR304C-A","S000005830","C,K,B"
"YOR304W","S000005831","N"
"YOR305W","S000005832","M"
"YOR306C","S000005833","P"
"YOR307C","S000005834","E"
"YOR308C","S000005835","N"
"YOR310C","S000005837","N,U"
"YOR311C","S000005838","N,E,G,D,A,L"
"YOR312C","S000005839","C"
"YOR315W","S000005842","C,N"
"YOR316C","S000005843","M"
"YOR317W","S000005844","M,E"
"YOR319W","S000005846","N"
"YOR320C","S000005847","G,V,O,A"
"YOR321W","S000005848","E,D"
"YOR322C","S000005849","C,G"
"YOR323C","S000005850","C,N"
"YOR324C","S000005851","E,D"
"YOR326W","S000005853","K,B"
"YOR328W","S000005855","P"
"YOR329C","S000005856","N"
"YOR330C","S000005857","M"
"YOR332W","S000005859","V,O"
"YOR334W","S000005861","M,R"
"YOR335C","S000005862","C,M"
"YOR336W","S000005863","E"
"YOR337W","S000005864","N"
"YOR339C","S000005866","C"
"YOR340C","S000005867","N,U"
"YOR341W","S000005868","N,U"
"YOR342C","S000005869","C,N"
"YOR344C","S000005871","N"
"YOR346W","S000005873","C,N,M"
"YOR347C","S000005874","C,M"
"YOR348C","S000005875","P"
"YOR350C","S000005877","M"
"YOR351C","S000005878","N"
"YOR352W","S000005879","C,N"
"YOR353C","S000005880","C"
"YOR354C","S000005881","M"
"YOR355W","S000005882","C,N,M"
"YOR356W","S000005883","M"
"YOR357C","S000005884","C,G"
"YOR358W","S000005885","N"
"YOR359W","S000005886","C,N"
"YOR360C","S000005887","C,N"
"YOR361C","S000005888","C"
"YOR362C","S000005889","C,N"
"YOR363C","S000005890","N"
"YOR367W","S000005894","C"
"YOR368W","S000005895","N"
"YOR369C","S000005896","C"
"YOR370C","S000005897","C,N"
"YOR371C","S000005898","C"
"YOR372C","S000005899","C,N"
"YOR373W","S000005900","C,N"
"YOR374W","S000005901","M"
"YOR375C","S000005902","C,N"
"YOR378W","S000005905","P"
"YOR380W","S000005907","N"
"YOR381W","S000005908","P"
"YOR382W","S000005909","X"
"YOR383C","S000005910","X"
"YOR384W","S000005911","M,P"
"YOR385W","S000005912","C"
"YOR386W","S000005913","C,N,M"
"YOR387C","S000005914","C"
"YOR388C","S000005915","C"
"YOR389W","S000005916","X"
"YPL001W","S000005922","C,N"
"YPL002C","S000005923","C"
"YPL004C","S000005925","C,M"
"YPL005W","S000005926","C,M"
"YPL006W","S000005927","V,O"
"YPL007C","S000005928","N"
"YPL008W","S000005929","N"
"YPL009C","S000005930","C"
"YPL010W","S000005931","C,G"
"YPL011C","S000005932","N"
"YPL012W","S000005933","C,N,U"
"YPL013C","S000005934","M"
"YPL014W","S000005935","C,N"
